Tavg (°C),RH_avg (%),RR (mm)
23.9,81.0,0.0
23.4,77.0,0.0
24.9,76.0,2.0
24.3,74.0,0.0
23.9,74.0,0.0
24.5,72.0,0.0
22.8,77.0,0.0
24.1,80.0,15.0
23.4,76.0,0.0
22.6,73.0,6.0
23.1,72.0,0.0
23.1,76.0,0.0
23.8,78.0,13.0
23.6,86.0,6.0
23.3,84.0,3.0
22.9,85.0,18.0
23.1,74.0,1.0
22.9,72.0,0.0
23.2,69.0,0.0
23.0,72.0,0.0
22.8,73.0,0.0
23.0,72.0,0.0
23.1,71.0,0.0
22.0,68.0,0.0
22.3,71.0,0.0
21.6,73.0,0.0
23.1,76.0,0.0
24.1,74.0,0.0
22.6,80.0,0.0
22.2,84.0,0.0
23.2,74.0,0.0
22.5,73.0,0.0
22.6,76.0,0.0
21.7,75.0,0.0
20.7,71.0,0.0
21.9,73.0,0.0
21.0,68.0,0.0
21.5,75.0,0.0
21.8,78.0,0.0
22.1,67.0,0.0
22.0,68.0,0.0
21.7,72.0,0.0
22.4,69.0,0.0
22.6,69.0,0.0
22.7,72.0,0.0
23.0,70.0,0.0
22.7,74.0,0.0
22.3,76.0,0.0
21.4,70.0,0.0
21.7,69.0,0.0
22.9,68.0,0.0
22.8,73.0,0.0
23.6,72.0,0.0
21.9,66.0,0.0
20.2,62.0,0.0
21.7,67.0,0.0
23.5,64.0,0.0
22.3,68.0,0.0
22.0,78.0,0.0
22.7,73.0,6.0
22.1,72.0,0.0
21.4,63.0,0.0
21.7,77.0,0.0
21.8,64.0,0.0
22.9,72.0,0.0
22.8,76.0,0.0
22.3,81.0,0.0
22.6,84.0,2.0
22.4,81.0,0.0
23.0,78.0,0.0
22.0,82.0,0.0
22.1,77.0,0.0
22.4,71.0,0.0
22.1,76.0,0.0
21.7,72.0,0.0
22.1,62.0,0.0
21.8,71.0,0.0
22.3,79.0,0.0
21.8,74.0,0.0
22.0,74.0,0.0
21.8,74.0,0.0
21.8,75.0,0.0
22.2,71.0,0.0
22.0,67.0,0.0
22.1,66.0,0.0
21.8,68.0,0.0
21.6,68.0,0.0
20.7,70.0,0.0
21.6,67.0,0.0
21.9,65.0,0.0
22.0,60.0,0.0
21.5,78.0,0.0
22.0,64.0,0.0
21.6,61.0,0.0
22.8,69.0,0.0
22.8,68.0,0.0
23.0,67.0,0.0
22.9,76.0,2.0
23.7,75.0,0.0
23.6,72.0,1.0
24.1,70.0,0.0
22.9,72.0,0.0
23.9,78.0,0.0
23.5,68.0,0.0
23.4,72.0,0.0
23.8,71.0,0.0
23.8,72.0,0.0
23.9,72.0,0.0
22.8,76.0,0.0
23.5,68.0,0.0
23.3,73.0,0.0
22.5,66.0,0.0
22.7,72.0,0.0
24.1,72.0,0.0
24.4,75.0,0.0
23.4,78.0,11.0
22.3,74.0,0.0
23.8,75.0,0.0
23.9,71.0,0.0
24.8,74.0,0.0
23.2,76.0,0.0
24.0,78.0,28.0
23.9,71.0,13.0
23.8,68.0,0.0
24.1,70.0,0.0
24.2,81.0,0.0
24.2,76.0,10.0
23.0,77.0,18.0
23.9,77.0,19.0
24.2,78.0,0.0
23.5,73.0,0.0
23.9,74.0,0.0
23.8,72.0,0.0
24.4,70.0,0.0
24.5,69.0,0.0
24.3,76.0,0.0
23.3,79.0,13.0
23.8,75.0,14.0
24.1,73.0,0.0
23.3,84.0,0.0
23.4,74.0,0.0
24.0,76.0,0.0
24.8,76.0,0.0
23.9,81.0,8.0
24.5,80.0,50.0
23.9,82.0,16.0
23.0,83.0,4.0
23.8,77.0,7.0
23.7,80.0,0.0
23.2,87.0,35.0
23.2,88.0,25.0
22.3,85.0,0.0
23.0,79.0,2.0
24.5,64.0,5.0
22.7,80.0,2.0
23.6,77.0,0.0
23.4,82.0,0.0
23.6,85.0,10.0
23.5,85.0,0.0
23.8,85.0,6.0
24.7,78.0,29.0
24.5,76.0,1.0
23.8,82.0,0.0
23.9,78.0,0.0
23.9,84.0,23.0
23.2,85.0,0.0
24.8,81.0,22.0
24.6,78.0,7.0
23.5,86.0,61.0
24.1,77.0,26.0
24.4,80.0,1.0
23.8,84.0,37.0
24.5,79.0,63.0
23.7,85.0,1.0
23.1,90.0,19.0
23.4,80.0,0.0
22.9,88.0,50.0
24.5,84.0,45.0
23.5,81.0,1.0
23.9,79.0,16.0
24.0,83.0,17.0
23.0,88.0,17.0
23.2,82.0,0.0
23.5,84.0,41.0
22.7,91.0,0.0
23.3,83.0,18.0
23.7,78.0,5.0
24.6,73.0,2.0
24.5,79.0,2.0
23.7,84.0,5.0
24.1,80.0,0.0
24.1,83.0,5.0
24.2,79.0,3.0
25.2,77.0,0.0
22.6,80.0,0.0
22.6,76.0,0.0
22.3,78.0,0.0
23.2,76.0,0.0
23.1,69.0,0.0
23.4,72.0,0.0
24.3,77.0,0.0
23.9,78.0,0.0
23.2,84.0,0.0
24.0,81.0,39.0
23.5,84.0,3.0
23.0,87.0,7.0
22.9,86.0,6.0
23.6,77.0,1.0
23.7,83.0,7.0
23.6,80.0,5.0
24.2,73.0,1.0
24.1,78.0,0.0
24.3,78.0,0.0
23.2,86.0,0.0
24.3,81.0,11.0
24.7,75.0,0.0
23.3,80.0,1.0
23.6,71.0,3.0
24.5,77.0,0.0
23.9,76.0,0.0
23.9,79.0,1.0
24.4,80.0,4.0
25.0,73.0,0.0
23.9,71.0,0.0
24.0,69.0,0.0
23.8,75.0,1.0
24.6,76.0,26.0
25.1,80.0,0.0
23.9,80.0,0.0
23.5,83.0,78.0
23.3,77.0,45.0
21.6,87.0,1.0
22.3,82.0,43.0
22.8,86.0,12.0
22.4,78.0,13.0
22.5,82.0,5.0
23.8,75.0,0.0
23.2,82.0,0.0
23.1,81.0,14.0
24.0,74.0,0.0
24.0,81.0,0.0
23.4,85.0,0.0
23.9,82.0,23.0
23.9,82.0,10.0
24.4,80.0,5.0
22.5,92.0,18.0
22.3,94.0,18.0
23.4,84.0,28.0
23.9,82.0,39.0
24.9,78.0,0.0
24.4,80.0,0.0
24.3,79.0,0.0
23.4,81.0,0.0
23.8,82.0,3.0
23.3,82.0,1.0
23.6,85.0,15.0
22.6,84.0,0.0
22.9,85.0,12.0
22.3,81.0,20.0
23.0,83.0,0.0
23.1,86.0,29.0
23.2,86.0,33.0
22.1,88.0,6.0
23.0,81.0,17.0
23.9,76.0,6.0
24.0,73.0,6.0
25.1,65.0,4.0
25.3,64.0,2.0
24.0,78.0,2.0
24.3,77.0,5.0
24.4,82.0,5.0
24.5,78.0,1.0
22.5,91.0,33.0
23.5,79.0,4.0
23.1,82.0,1.0
23.7,76.0,19.0
23.7,77.0,1.0
23.1,76.0,0.0
23.2,75.0,0.0
23.6,76.0,0.0
23.5,78.0,0.0
23.9,76.0,8.0
23.8,84.0,13.0
23.5,84.0,1.0
23.5,86.0,11.0
23.7,85.0,7.0
24.3,77.0,27.0
24.2,79.0,0.0
23.8,78.0,0.0
23.7,85.0,5.0
23.5,78.0,2.0
23.8,67.0,4.0
23.9,75.0,0.0
23.5,84.0,1.0
23.7,73.0,98.0
23.1,77.0,0.0
24.0,74.0,0.0
23.3,80.0,0.0
23.4,82.0,67.0
23.1,83.0,35.0
23.5,84.0,0.0
22.2,86.0,0.0
24.4,74.0,1.0
24.1,85.0,0.0
23.5,77.0,3.0
23.6,84.0,3.0
23.4,86.0,7.0
23.3,82.0,1.0
23.7,76.0,57.0
23.2,83.0,13.0
23.3,80.0,4.0
23.7,81.0,1.0
23.5,83.0,0.0
23.4,86.0,4.0
21.1,84.0,18.0
23.2,88.0,3.0
23.7,83.0,3.0
24.3,78.0,0.0
23.3,81.0,0.0
24.8,70.0,0.0
24.7,74.0,0.0
25.0,72.0,0.0
25.1,75.0,0.0
24.2,80.0,0.0
24.3,74.0,0.0
24.4,74.0,0.0
23.7,84.0,0.0
23.0,86.0,7.0
23.8,82.0,1.0
23.3,80.0,0.0
23.3,83.0,0.0
22.9,76.0,5.0
22.5,68.0,0.0
22.7,72.0,0.0
23.9,68.0,0.0
23.8,64.0,0.0
24.4,71.0,0.0
23.7,83.0,0.0
24.4,86.0,2.0
24.7,76.0,0.0
24.1,63.0,0.0
23.0,62.0,0.0
23.6,67.0,0.0
24.6,79.0,0.0
24.0,77.0,57.0
23.4,82.0,16.0
24.0,78.0,26.0
24.4,73.0,0.0
24.2,74.0,0.0
24.4,68.0,0.0
24.6,68.0,0.0
24.5,62.0,0.0
23.9,70.0,0.0
22.7,71.0,0.0
21.9,56.0,0.0
22.5,64.0,0.0
23.2,66.0,0.0
23.5,66.0,0.0
24.3,68.0,0.0
23.7,66.0,0.0
23.9,68.0,0.0
24.2,68.0,0.0
24.3,68.0,0.0
23.3,78.0,13.0
23.9,68.0,1.0
23.8,66.0,0.0
23.9,68.0,0.0
24.0,67.0,0.0
23.9,64.0,2.0
24.3,63.0,0.0
24.2,70.0,0.0
23.6,73.0,0.0
24.0,71.0,0.0
23.9,79.0,0.0
23.4,65.0,0.0
23.5,77.0,0.0
23.8,76.0,1.0
24.6,74.0,0.0
23.5,79.0,37.0
23.0,85.0,19.0
23.5,82.0,21.0
23.4,77.0,6.0
23.8,78.0,8.0
22.9,83.0,0.0
22.3,90.0,13.0
23.5,78.0,1.0
23.8,78.0,1.0
23.9,80.0,0.0
23.6,80.0,7.0
23.4,87.0,5.0
22.7,78.0,6.0
22.6,70.0,0.0
22.5,62.0,0.0
22.5,61.0,0.0
22.0,78.0,0.0
22.5,72.0,0.0
22.7,71.0,0.0
23.7,73.0,0.0
23.5,71.0,0.0
23.5,71.0,0.0
23.2,71.0,0.0
22.2,71.0,0.0
22.4,69.0,0.0
22.3,69.0,0.0
23.7,70.0,0.0
23.1,78.0,0.0
21.5,63.0,0.0
21.0,57.0,0.0
20.5,57.0,0.0
20.9,59.0,0.0
21.8,60.0,0.0
22.7,68.0,0.0
22.0,68.0,0.0
22.6,74.0,0.0
23.3,73.0,0.0
22.4,80.0,7.0
22.6,79.0,6.0
22.2,78.0,0.0
23.2,75.0,0.0
23.2,84.0,5.0
22.3,78.0,0.0
23.3,74.0,2.0
22.5,71.0,0.0
22.3,82.0,0.0
22.7,80.0,19.0
22.6,76.0,0.0
22.9,77.0,0.0
23.1,76.0,0.0
22.1,78.0,0.0
22.2,73.0,0.0
22.0,72.0,0.0
22.1,68.0,0.0
22.2,71.0,0.0
22.7,71.0,0.0
22.7,70.0,0.0
21.6,71.0,0.0
21.4,70.0,0.0
20.2,70.0,0.0
20.6,67.0,0.0
21.1,57.0,0.0
23.8,60.0,0.0
20.7,72.0,0.0
20.7,72.0,0.0
21.7,61.0,0.0
21.8,70.0,0.0
23.9,74.0,12.0
23.1,66.0,0.0
21.1,65.0,0.0
21.8,62.0,0.0
21.4,66.0,0.0
22.1,66.0,0.0
22.2,70.0,0.0
20.9,78.0,0.0
21.3,56.0,0.0
21.4,72.0,0.0
23.0,67.0,0.0
22.1,67.0,0.0
23.3,62.0,0.0
22.0,69.0,0.0
22.4,66.0,0.0
22.1,67.0,0.0
22.6,64.0,0.0
22.2,65.0,0.0
22.2,62.0,0.0
22.6,70.0,0.0
23.5,71.0,0.0
23.4,74.0,0.0
23.9,58.0,0.0
23.4,78.0,0.0
22.5,81.0,0.0
23.5,76.0,0.0
23.4,69.0,0.0
22.7,72.0,0.0
23.9,74.0,0.0
22.9,72.0,0.0
23.5,75.0,0.0
23.1,72.0,0.0
23.1,63.0,0.0
23.0,76.0,0.0
23.7,69.0,15.0
23.5,65.0,0.0
23.8,74.0,0.0
24.1,70.0,0.0
25.0,68.0,0.0
24.4,64.0,0.0
23.4,72.0,0.0
22.9,66.0,0.0
23.5,70.0,0.0
23.2,73.0,0.0
23.0,74.0,0.0
24.4,64.0,1.0
23.8,79.0,0.0
24.2,70.0,0.0
24.3,69.0,0.0
24.6,68.0,0.0
24.1,72.0,0.0
23.4,74.0,0.0
24.3,76.0,0.0
23.8,78.0,0.0
24.2,74.0,5.0
23.2,74.0,11.0
24.0,66.0,0.0
24.2,68.0,0.0
23.4,78.0,0.0
23.0,83.0,2.0
23.4,79.0,44.0
22.8,82.0,0.0
22.6,83.0,2.0
22.8,73.0,1.0
23.1,74.0,0.0
23.1,81.0,0.0
23.2,86.0,3.0
25.4,74.0,8.0
25.0,62.0,0.0
24.9,68.0,0.0
23.5,74.0,1.0
23.6,80.0,1.0
22.7,79.0,9.0
22.7,88.0,10.0
23.0,90.0,19.0
24.0,80.0,64.0
23.8,82.0,4.0
25.3,75.0,1.0
25.2,72.0,0.0
26.0,66.0,0.0
24.9,74.0,0.0
25.0,65.0,1.0
24.3,64.0,0.0
24.5,69.0,0.0
23.9,77.0,0.0
23.8,78.0,0.0
23.6,77.0,6.0
24.3,78.0,0.0
24.3,80.0,24.0
24.3,80.0,9.0
24.6,76.0,0.0
24.9,74.0,0.0
25.2,73.0,0.0
24.3,74.0,0.0
23.7,72.0,0.0
24.7,73.0,0.0
25.0,71.0,0.0
24.4,79.0,4.0
23.8,79.0,5.0
23.0,83.0,0.0
23.7,82.0,47.0
23.7,80.0,4.0
25.3,76.0,0.0
26.0,59.0,0.0
24.6,73.0,0.0
24.2,78.0,20.0
24.1,79.0,0.0
24.0,77.0,0.0
23.6,74.0,0.0
24.5,74.0,0.0
23.7,79.0,2.0
23.2,78.0,9.0
21.8,94.0,8.0
22.0,89.0,18.0
21.4,91.0,17.0
22.7,84.0,8.0
22.9,86.0,6.0
22.1,85.0,1.0
22.9,82.0,0.0
22.2,85.0,0.0
22.7,80.0,0.0
23.3,76.0,0.0
23.0,78.0,0.0
23.9,71.0,0.0
23.9,78.0,0.0
23.7,80.0,0.0
24.0,74.0,0.0
24.3,82.0,2.0
23.9,84.0,21.0
23.3,83.0,39.0
23.9,80.0,0.0
23.9,83.0,1.0
23.1,83.0,0.0
23.6,78.0,1.0
23.5,80.0,0.0
23.9,77.0,0.0
24.1,80.0,18.0
24.6,78.0,49.0
23.8,83.0,2.0
24.5,76.0,0.0
23.9,82.0,0.0
24.0,82.0,0.0
23.9,81.0,1.0
24.6,78.0,0.0
22.1,92.0,6.0
23.3,86.0,18.0
23.9,80.0,2.0
24.4,81.0,0.0
24.2,80.0,4.0
23.4,84.0,23.0
23.8,72.0,0.0
23.6,74.0,0.0
23.4,88.0,0.0
24.3,71.0,4.0
24.4,73.0,0.0
24.3,71.0,0.0
23.3,81.0,0.0
23.0,83.0,13.0
23.4,84.0,51.0
24.5,79.0,10.0
23.9,82.0,0.0
24.1,79.0,0.0
23.8,82.0,1.0
23.9,81.0,2.0
23.7,84.0,43.0
23.3,82.0,1.0
21.5,89.0,72.0
23.4,88.0,101.0
23.2,85.0,13.0
23.4,86.0,7.0
24.5,77.0,5.0
23.3,82.0,2.0
24.2,75.0,2.0
22.8,88.0,65.0
24.3,72.0,11.0
24.6,70.0,2.0
24.8,68.0,9.0
24.1,77.0,2.0
23.5,83.0,70.0
23.7,85.0,7.0
24.6,74.0,5.0
24.3,68.0,66.0
24.9,65.0,1.0
24.3,73.0,7.0
24.3,70.0,2.0
24.8,69.0,9.0
25.6,68.0,0.0
23.6,80.0,0.0
23.5,85.0,21.0
22.9,84.0,12.0
23.6,83.0,5.0
23.3,85.0,2.0
22.8,85.0,12.0
23.0,82.0,10.0
24.2,82.0,6.0
25.2,64.0,36.0
23.5,80.0,0.0
23.7,78.0,7.0
23.4,84.0,1.0
23.0,81.0,4.0
23.7,76.0,1.0
23.5,80.0,0.0
23.2,82.0,0.0
23.9,78.0,0.0
23.9,70.0,0.0
23.3,72.0,0.0
23.3,78.0,0.0
23.2,76.0,0.0
22.9,86.0,0.0
23.2,88.0,12.0
22.7,88.0,2.0
22.9,84.0,16.0
22.8,90.0,4.0
24.0,83.0,13.0
24.2,76.0,16.0
24.3,73.0,0.0
24.0,75.0,0.0
24.1,70.0,0.0
23.3,71.0,0.0
23.7,79.0,0.0
24.3,81.0,6.0
23.9,81.0,0.0
24.0,82.0,13.0
24.1,66.0,0.0
24.0,74.0,0.0
24.6,74.0,0.0
24.6,80.0,0.0
24.5,75.0,0.0
24.9,72.0,0.0
23.0,82.0,0.0
23.6,82.0,49.0
24.3,78.0,1.0
23.7,81.0,3.0
23.1,87.0,2.0
23.8,84.0,14.0
23.2,86.0,1.0
22.9,88.0,10.0
23.0,79.0,2.0
24.1,80.0,67.0
25.5,66.0,1.0
24.6,76.0,0.0
24.1,69.0,1.0
23.9,71.0,0.0
24.1,78.0,19.0
24.2,74.0,0.0
23.0,81.0,0.0
23.4,80.0,0.0
23.3,78.0,1.0
24.3,80.0,4.0
23.6,77.0,21.0
23.3,77.0,0.0
22.7,82.0,0.0
24.0,76.0,1.0
24.4,73.0,19.0
23.9,74.0,0.0
24.2,72.0,13.0
24.7,61.0,0.0
24.9,70.0,0.0
24.1,76.0,1.0
24.7,71.0,0.0
24.4,68.0,0.0
24.7,74.0,0.0
24.0,73.0,14.0
24.0,67.0,0.0
25.0,65.0,0.0
24.7,75.0,0.0
24.1,75.0,0.0
24.7,79.0,0.0
23.9,84.0,0.0
24.3,77.0,30.0
24.9,74.0,0.0
25.2,71.0,0.0
23.9,78.0,0.0
24.4,78.0,0.0
23.8,81.0,8.0
25.8,73.0,0.0
24.5,76.0,1.0
24.2,67.0,10.0
22.7,65.0,0.0
23.3,69.0,0.0
23.3,64.0,0.0
23.3,78.0,0.0
23.5,62.0,0.0
23.4,65.0,0.0
22.8,58.0,0.0
22.6,63.0,0.0
23.3,63.0,0.0
23.2,65.0,0.0
22.8,55.0,0.0
24.1,63.0,0.0
23.3,64.0,0.0
23.0,58.0,0.0
23.5,71.0,0.0
23.8,75.0,0.0
23.6,73.0,0.0
23.6,70.0,0.0
23.6,69.0,0.0
23.5,69.0,0.0
23.4,66.0,0.0
23.5,65.0,0.0
23.2,66.0,0.0
23.6,70.0,0.0
23.2,67.0,0.0
22.0,67.0,0.0
23.8,68.0,0.0
23.5,66.0,0.0
23.7,74.0,0.0
24.1,70.0,0.0
21.9,68.0,0.0
21.5,70.0,0.0
22.0,70.0,0.0
22.8,68.0,0.0
22.5,62.0,0.0
22.3,70.0,0.0
22.3,68.0,0.0
22.8,64.0,0.0
22.4,64.0,0.0
21.7,78.0,0.0
22.5,68.0,0.0
22.8,76.0,0.0
22.5,72.0,0.0
22.2,66.0,0.0
20.7,65.0,0.0
20.6,64.0,0.0
22.2,61.0,0.0
21.8,62.0,0.0
21.8,66.0,0.0
20.6,66.0,0.0
21.0,62.0,0.0
21.2,67.0,0.0
22.2,64.0,0.0
21.6,71.0,0.0
21.0,70.0,0.0
22.6,71.0,0.0
21.5,73.0,0.0
22.5,68.0,0.0
22.9,70.0,0.0
22.0,78.0,0.0
22.6,76.0,0.0
22.6,68.0,0.0
22.5,65.0,0.0
21.9,73.0,0.0
22.8,76.0,0.0
22.9,73.0,0.0
22.8,73.0,0.0
21.7,64.0,0.0
22.6,61.0,2.0
23.1,72.0,0.0
23.8,78.0,0.0
22.8,69.0,0.0
22.1,70.0,0.0
22.3,70.0,0.0
22.2,72.0,0.0
22.4,71.0,0.0
22.5,72.0,0.0
23.2,74.0,0.0
22.8,72.0,0.0
21.5,74.0,0.0
21.9,68.0,0.0
21.8,72.0,0.0
20.6,68.0,0.0
21.6,66.0,0.0
22.9,73.0,0.0
22.7,79.0,0.0
22.2,72.0,0.0
20.9,74.0,0.0
20.7,76.0,0.0
20.3,63.0,0.0
23.8,64.0,0.0
20.2,68.0,0.0
20.9,74.0,0.0
21.6,68.0,0.0
20.8,71.0,0.0
21.7,72.0,0.0
21.8,67.0,0.0
21.2,68.0,0.0
21.7,70.0,0.0
22.2,73.0,0.0
22.1,77.0,0.0
23.1,72.0,0.0
22.4,74.0,0.0
21.3,76.0,0.0
22.0,68.0,0.0
21.3,58.0,0.0
21.3,66.0,0.0
21.0,63.0,0.0
23.8,63.0,0.0
22.6,75.0,0.0
22.4,68.0,0.0
22.6,70.0,0.0
22.4,78.0,0.0
22.1,69.0,0.0
21.9,65.0,0.0
21.6,63.0,0.0
22.5,64.0,0.0
23.6,60.0,0.0
21.5,64.0,0.0
22.6,66.0,0.0
22.5,69.0,0.0
23.1,73.0,0.0
22.7,72.0,0.0
22.3,71.0,0.0
22.4,67.0,0.0
22.4,69.0,0.0
23.4,74.0,0.0
23.8,72.0,0.0
22.9,72.0,0.0
23.6,66.0,0.0
23.2,69.0,0.0
22.2,74.0,0.0
22.5,79.0,1.0
23.9,69.0,0.0
23.2,72.0,0.0
22.9,72.0,0.0
23.5,72.0,0.0
23.3,72.0,0.0
23.0,70.0,0.0
23.0,67.0,0.0
23.7,72.0,0.0
24.5,68.0,0.0
24.5,62.0,0.0
25.0,68.0,0.0
23.2,68.0,0.0
23.2,65.0,0.0
22.5,64.0,0.0
24.3,67.0,0.0
23.7,72.0,0.0
23.7,70.0,0.0
24.9,68.0,0.0
25.9,55.0,0.0
24.7,62.0,0.0
25.4,66.0,0.0
25.9,64.0,0.0
25.7,68.0,0.0
25.0,78.0,0.0
24.6,63.0,0.0
24.4,65.0,0.0
25.6,61.0,0.0
25.6,55.0,0.0
25.0,65.0,0.0
24.5,58.0,0.0
25.2,57.0,0.0
25.3,64.0,0.0
26.1,68.0,0.0
24.9,72.0,0.0
25.3,63.0,13.0
25.1,67.0,0.0
26.1,62.0,0.0
25.6,73.0,0.0
24.8,77.0,2.0
25.7,72.0,0.0
25.0,74.0,0.0
25.9,66.0,0.0
24.7,73.0,0.0
25.8,72.0,6.0
26.2,70.0,0.0
25.6,74.0,0.0
25.3,73.0,0.0
26.1,71.0,0.0
25.5,63.0,0.0
26.0,69.0,0.0
25.6,68.0,49.0
25.2,78.0,0.0
25.2,70.0,14.0
25.7,77.0,17.0
25.5,78.0,3.0
25.2,77.0,0.0
24.9,78.0,0.0
24.5,78.0,3.0
24.9,78.0,0.0
25.2,79.0,0.0
24.9,82.0,0.0
24.9,76.0,0.0
23.1,80.0,8.0
23.3,84.0,0.0
23.3,82.0,0.0
22.2,88.0,0.0
23.7,80.0,0.0
23.5,78.0,1.0
24.4,68.0,0.0
24.5,73.0,0.0
24.5,76.0,0.0
23.5,80.0,0.0
25.2,76.0,39.0
25.2,76.0,0.0
24.5,79.0,62.0
24.6,81.0,0.0
25.2,76.0,0.0
25.0,77.0,0.0
24.9,80.0,39.0
23.3,87.0,79.0
25.4,70.0,2.0
24.8,74.0,0.0
24.6,79.0,0.0
24.5,75.0,0.0
25.8,69.0,5.0
26.5,67.0,0.0
25.3,74.0,0.0
24.9,76.0,1.0
25.1,78.0,0.0
24.1,81.0,0.0
23.9,83.0,81.0
23.5,87.0,77.0
24.3,82.0,0.0
24.0,85.0,5.0
23.6,87.0,19.0
23.5,88.0,1.0
23.4,88.0,4.0
22.6,92.0,8.0
22.8,88.0,25.0
22.8,90.0,49.0
21.5,91.0,1.0
23.2,85.0,0.0
22.7,82.0,2.0
22.8,86.0,1.0
23.8,80.0,0.0
24.3,78.0,10.0
24.1,84.0,0.0
24.5,80.0,0.0
24.2,76.0,1.0
24.0,80.0,0.0
23.6,86.0,1.0
24.2,79.0,0.0
23.6,80.0,0.0
24.3,80.0,0.0
25.1,76.0,0.0
24.4,77.0,0.0
24.3,77.0,5.0
23.5,86.0,14.0
24.2,81.0,2.0
23.7,82.0,12.0
23.8,78.0,5.0
23.8,80.0,4.0
23.8,84.0,42.0
23.3,84.0,2.0
23.1,88.0,6.0
23.2,88.0,1.0
23.8,84.0,22.0
23.2,86.0,12.0
23.6,84.0,23.0
23.6,86.0,23.0
22.5,89.0,7.0
24.4,80.0,26.0
23.2,82.0,2.0
22.8,89.0,23.0
24.2,84.0,3.0
24.9,80.0,3.0
24.3,76.0,10.0
24.8,75.0,10.0
23.9,86.0,0.0
22.9,88.0,9.0
23.6,86.0,4.0
21.8,88.0,7.0
23.5,84.0,50.0
23.7,85.0,7.0
22.2,95.0,0.0
22.9,90.0,23.0
23.9,82.0,38.0
23.7,92.0,39.0
24.6,82.0,2.0
23.6,85.0,3.0
25.2,74.0,1.0
24.9,82.0,0.0
25.3,74.0,0.0
24.6,79.0,0.0
25.5,72.0,17.0
24.2,82.0,96.0
23.1,88.0,23.0
24.8,73.0,0.0
25.4,67.0,0.0
23.7,84.0,2.0
25.6,73.0,56.0
23.6,87.0,7.0
23.9,86.0,0.0
23.6,86.0,0.0
